TransactionId,Store,SKU,Date,Year,Month,WeekDay,Qty,TotalRev,customer_loyalty_id
78751242-2faf-4566-9d2c-03df81dffb50,10,8CnCaM,2022-03-01,2022,3,Tuesday,2,7.0,c9998830-5ab4-4386-8c4f-3a28b8dfd31f
674fec96-f2fb-43b8-8239-9dfa739ce811,10,iYvFyn,2022-03-01,2022,3,Tuesday,3,10.5,
63b83679-3411-4dc9-a0e3-3e374e269123,10,IWoDZ7,2022-03-01,2022,3,Tuesday,1,3.5,5780b162-a90b-4049-b898-d2952d9b8f88
debbbba5-4d2b-4e9a-92d2-0d410f74378b,10,pCjr1R,2022-03-01,2022,3,Tuesday,3,10.5,
ff6dea48-f883-4a75-be16-32c0e4fa1387,10,TwErrn,2022-03-01,2022,3,Tuesday,1,3.5,
355dfaa3-ef15-4f59-9fb5-7569761f11db,10,V9hDyY,2022-03-01,2022,3,Tuesday,2,7.0,
887eca5e-54f4-470d-b62e-9be09f734820,10,J4fMRf,2022-03-01,2022,3,Tuesday,2,7.0,
0af9ff91-7745-43d9-84f2-81733dac2028,10,J4fMRf,2022-03-01,2022,3,Tuesday,1,3.5,
612908e1-3d21-4a09-a16e-a80056f1df48,10,1X3p2H,2022-03-01,2022,3,Tuesday,3,10.5,4b4fef43-ff1a-4ed6-bbd4-00d9a0102340
57297022-cd15-4391-ae8d-309012827b70,10,TwErrn,2022-03-01,2022,3,Tuesday,2,7.0,2e7d4c34-ac47-495e-9466-00813888a037
ccb102bd-7ddb-474e-91fb-a32419634d74,10,iYvFyn,2022-03-01,2022,3,Tuesday,3,10.5,
9082faa8-8f9d-4502-9e96-ed6b05aa1834,10,IWoDZ7,2022-03-01,2022,3,Tuesday,3,10.5,
cd03830f-aa9a-4d4a-a157-c189e4595acf,10,TwErrn,2022-03-01,2022,3,Tuesday,2,7.0,
55811ae8-7eaa-423e-be69-ee95233b2d81,10,LRN0uO,2022-03-01,2022,3,Tuesday,2,7.0,
a4d8a62c-52f2-4ec6-936c-0b47218c9335,10,J4fMRf,2022-03-01,2022,3,Tuesday,3,10.5,17ad36d3-f045-42ab-a48d-d6a848d241a4
1d8b0318-37b0-4f78-b4f7-3d1468604a0a,10,8CnCaM,2022-03-01,2022,3,Tuesday,2,7.0,
332c1660-d6e7-4f87-a60a-70698344bc3b,10,HHY1ds,2022-03-01,2022,3,Tuesday,3,10.5,
36aa654c-6fd7-4cad-b049-08e661a6ac47,10,RZZSxq,2022-03-01,2022,3,Tuesday,2,7.0,
a8f3091c-32c5-46b7-8c81-a7febc09f20a,10,pCjr1R,2022-03-01,2022,3,Tuesday,2,7.0,
18913af6-2cef-4d64-aefe-2eba2c7f7775,10,YnyFQq,2022-03-01,2022,3,Tuesday,2,7.0,
7eda3d95-f5d3-4384-822d-4d4f8079ff4e,10,iYvFyn,2022-03-01,2022,3,Tuesday,3,10.5,
ffad5840-c3c9-41b7-8005-d4bfd78454d4,10,g0RPTY,2022-03-01,2022,3,Tuesday,3,10.5,
a2c2c8ea-6291-4f81-bb99-bd971373f844,10,fvBBXY,2022-03-01,2022,3,Tuesday,2,7.0,
7f0cba4a-fdfa-41f2-a980-b578eb1d7ebe,10,g0RPTY,2022-03-01,2022,3,Tuesday,2,7.0,
2e00a667-82bc-44c2-8853-ca095b0c23a3,10,XkiZ9D,2022-03-01,2022,3,Tuesday,1,3.5,
9cab2325-f2de-4bf8-913b-9f8bfa6a2ef0,10,LRN0uO,2022-03-01,2022,3,Tuesday,2,7.0,f19432c4-4df4-4e45-97d6-8fd7772aecee
1c41bb9c-6798-480b-a773-3a9106142a5f,10,pCjr1R,2022-03-01,2022,3,Tuesday,2,7.0,1d6e18a8-2113-48a0-85ff-bd7d9b3313ab
b9369ec2-ea11-4aa8-8f67-08daad96d070,10,IWoDZ7,2022-03-01,2022,3,Tuesday,2,7.0,5d8bc7fb-98d4-4474-b7cc-d28d94497941
61ab00c5-0883-4337-8a16-887390cd587a,10,Xd4sZA,2022-03-01,2022,3,Tuesday,2,7.0,
b0cce565-88d2-4baf-88ab-1dc21a49e902,10,8CnCaM,2022-03-01,2022,3,Tuesday,2,7.0,
d9ff24d2-bdf8-4fcb-b088-19afbfa2ac3e,10,HHY1ds,2022-03-01,2022,3,Tuesday,1,3.5,
440609df-ef06-4a01-ada5-69ed58290770,10,iYvFyn,2022-03-01,2022,3,Tuesday,2,7.0,
e0a30dcb-8672-4c52-9af5-3503182c4de5,10,V9hDyY,2022-03-01,2022,3,Tuesday,2,7.0,
33e35e28-ce3d-44c7-b0db-8c9646cf91b3,10,YnyFQq,2022-03-01,2022,3,Tuesday,2,7.0,f19432c4-4df4-4e45-97d6-8fd7772aecee
8f0ac1b2-deef-4558-ada2-394c28756c8a,10,XkiZ9D,2022-03-01,2022,3,Tuesday,2,7.0,
34808a00-4c79-4a2f-bc89-736f49cfe4a8,10,iYvFyn,2022-03-01,2022,3,Tuesday,2,7.0,
82e49d4b-7eb9-4b5f-be5b-521afc5b4339,10,g0RPTY,2022-03-01,2022,3,Tuesday,1,3.5,6755615f-3d98-4737-9004-d69a2a09b024
5cec7699-90b3-4a88-a665-0257efc77917,10,AcIRu7,2022-03-01,2022,3,Tuesday,2,7.0,
a955b74a-04e3-48e7-bd80-bc5eb601112a,10,YnyFQq,2022-03-01,2022,3,Tuesday,1,3.5,
06708432-a5a7-4116-ad02-53669f37d15a,10,LRN0uO,2022-03-01,2022,3,Tuesday,3,10.5,
fe5d0908-bcfe-4c09-97e9-71f22280b81f,10,J4fMRf,2022-03-01,2022,3,Tuesday,2,7.0,9a17775c-9dd1-40b7-8f04-8a4703494fee
66ff662d-9fef-4124-95c2-0ffa4592159e,10,AcIRu7,2022-03-01,2022,3,Tuesday,2,7.0,
c912a79a-6fd2-48f4-a0e4-ef7a56854d92,10,TwErrn,2022-03-01,2022,3,Tuesday,2,7.0,
64b57bd0-d56a-4b90-b0e1-1000691fc107,10,XkiZ9D,2022-03-01,2022,3,Tuesday,2,7.0,59070c57-269e-4e3f-b42c-fcc046c6a6bf
