StoreId,MonthEnd,City,State,ZipCode,OpeningDay,OpenHours,CloseHours,EmployeeCount
1,5/31/2021,Galveston,Texas,77554,5/1/2021,11:00 AM,10:00 PM,10
1,6/30/2021,Galveston,Texas,77554,5/1/2021,11:00 AM,10:00 PM,10
1,7/31/2021,Galveston,Texas,77554,5/1/2021,11:00 AM,10:00 PM,10
1,8/31/2021,Galveston,Texas,77554,5/1/2021,11:00 AM,10:00 PM,10
1,9/30/2021,Galveston,Texas,77554,5/1/2021,11:00 AM,10:00 PM,10000
1,10/31/2021,Galveston,Texas,77554,5/1/2021,11:00 AM,10:00 PM,10
1,11/30/2021,Galveston,Texas,77554,5/1/2021,11:00 AM,10:00 PM,10
1,12/31/2021,Galveston,Texas,77554,5/1/2021,11:00 AM,10:00 PM,10
1,1/31/2022,Galveston,Texas,77554,5/1/2021,11:00 AM,10:00 PM,10
1,2/28/2022,Galveston,Texas,77554,5/1/2021,11:00 AM,10:00 PM,10
1,3/31/2022,Galveston,Texas,77554,5/1/2021,11:00 AM,10:00 PM,10
1,4/30/2022,Galveston,Texas,77554,5/1/2021,11:00 AM,10:00 PM,10
1,5/31/2022,Galveston,Texas,77554,5/1/2021,11:00 AM,10:00 PM,10
1,6/30/2022,Galveston,Texas,77554,5/1/2021,11:00 AM,10:00 PM,10
2,5/31/2021,Corpus Christi,Texas,78418,5/1/2021,11:00 AM,10:00 PM,8
2,6/30/2021,Corpus Christi,Texas,78418,5/1/2021,11:00 AM,10:00 PM,8
2,7/31/2021,Corpus Christi,Texas,78418,5/1/2021,11:00 AM,10:00 PM,8
2,8/31/2021,Corpus Christi,Texas,78418,5/1/2021,11:00 AM,10:00 PM,8
2,9/30/2021,Corpus Christi,Texas,78418,5/1/2021,11:00 AM,10:00 PM,8
2,10/31/2021,Corpus Christi,Texas,78418,5/1/2021,11:00 AM,10:00 PM,8
2,11/30/2021,Corpus Christi,Texas,78418,5/1/2021,11:00 AM,10:00 PM,8
2,12/31/2021,Corpus Christi,Texas,78418,5/1/2021,11:00 AM,10:00 PM,8
2,1/31/2022,Corpus Christi,Texas,78418,5/1/2021,11:00 AM,10:00 PM,8
2,2/28/2022,Corpus Christi,Texas,78418,5/1/2021,11:00 AM,10:00 PM,8
2,3/31/2022,Corpus Christi,Texas,78418,5/1/2021,11:00 AM,10:00 PM,8
2,4/30/2022,Corpus Christi,Texas,78418,5/1/2021,11:00 AM,10:00 PM,8
2,5/31/2022,Corpus Christi,Texas,78418,5/1/2021,11:00 AM,10:00 PM,8
2,6/30/2022,Corpus Christi,Texas,78418,5/1/2021,11:00 AM,10:00 PM,8
3,12/31/2020,Myrtle Beach,South Carolina,29577,6/1/2020,11:00 AM,10:00 PM,12
3,1/31/2021,Myrtle Beach,South Carolina,29577,6/1/2020,11:00 AM,10:00 PM,12
3,2/28/2021,Myrtle Beach,South Carolina,29577,6/1/2020,11:00 AM,10:00 PM,12
3,3/31/2021,Myrtle Beach,South Carolina,29577,6/1/2020,11:00 AM,10:00 PM,12
3,4/30/2021,Myrtle Beach,South Carolina,29577,6/1/2020,11:00 AM,10:00 PM,12
3,5/31/2021,Myrtle Beach,South Carolina,29577,6/1/2020,11:00 AM,10:00 PM,12
